subscription_id,customer_id,user_id,plan_id,plan_amount,plan_currency,plan_interval,status,created,current_period_start,current_period_end,cancel_at_period_end,canceled_at,trial_start,trial_end,metadata
sub_2e1ccea06fe4fa,cus_eddbf90939afd3,72,price_a41cb27f4d1916,19900,eur,month,active,2025-01-13 08:11:14.949009,2025-01-13 08:17:14.949009,2025-02-12 08:17:14.949009,False,,2025-01-02 08:17:14.949009,,"{""source"": ""organic"", ""archetype"": ""enterprise_evaluator""}"
sub_0db755d9c08823,cus_5d49a3280a0f8c,80,price_ac0039b6a91385,19900,gbp,month,active,2025-01-18 03:21:18.187259,2025-01-18 03:24:18.187259,2025-02-17 03:24:18.187259,False,,,,"{""source"": ""google_ads"", ""archetype"": ""enterprise_evaluator""}"
sub_7cbc9d184ca3d9,cus_df7023cfce2a75,84,price_5e1a4c13104d63,2900,GBP,month,active,2025-01-14 05:32:30.614035,2025-01-14 05:49:30.614035,2025-02-13 05:49:30.614035,False,,2025-01-04 05:49:30.614035,,"{""source"": ""google_ads"", ""archetype"": ""engaged_free""}"
sub_0befad0ab4c2f2,cus_5f888ae6b2d86c,87,price_b5c01186136440,19900,USD,month,active,2025-01-20 06:29:29.792584,2025-01-20 06:43:29.792584,2025-02-19 06:43:29.792584,False,,2025-01-12 06:43:29.792584,2025-01-20 06:43:29.792584,"{""source"": ""linkedin"", ""archetype"": ""power_user""}"
sub_80f5d8d8395f69,cus_eb6556e4a98712,99,price_fa764124a3f0c1,19900,Eur,month,active,2025-01-09 06:19:28.629584,2025-01-09 06:30:28.629584,2025-02-08 06:30:28.629584,False,,,,"{""source"": ""direct"", ""archetype"": ""power_user""}"
sub_3262fb9c94b1f3,cus_c000f2ccd3d156,106,price_f948640b5bb5f9,29900,Eur,month,active,2025-01-08 05:59:46.726847,2025-01-08 06:26:46.726847,2025-02-07 06:26:46.726847,False,,,2025-01-08 06:26:46.726847,"{""source"": ""linkedin"", ""archetype"": ""power_user""}"
sub_e8f75ea7e4f646,cus_f885dabb709ab6,108,price_efd807586ca936,29900,gbp,month,active,2025-01-24 01:57:52.177035,2025-01-24 01:59:52.177035,2025-02-23 01:59:52.177035,False,,2025-01-11 01:59:52.177035,,"{""source"": ""organic"", ""archetype"": ""enterprise_evaluator""}"
sub_bb61c2df1f75ba,cus_03a9e07ee6a382,116,price_f319a9f7b45405,2900,eur,month,unpaid,2025-01-06 13:32:19.003731,2025-01-06 13:34:19.003731,2025-02-05 13:34:19.003731,False,,2024-12-23 13:34:19.003731,2025-01-06 13:34:19.003731,"{""source"": ""linkedin"", ""archetype"": ""engaged_free""}"
sub_0f07c8c844bf66,cus_d8a0a216b92498,121,price_74bc099334e103,19900,usd,month,active,2025-01-04 19:17:36.338883,2025-01-04 19:38:36.338883,2025-02-03 19:38:36.338883,False,,2024-12-24 19:38:36.338883,,"{""source"": ""direct"", ""archetype"": ""enterprise_evaluator""}"
sub_5912e7f11c9c3e,cus_2b5aac3391ac87,129,price_ac79421a2d09cb,29900,USD,month,active,2025-02-05 16:08:41.305476,2025-02-05 16:29:41.305476,2025-03-07 16:29:41.305476,False,,,,"{""source"": ""direct"", ""archetype"": ""power_user""}"
sub_dd0780b36c204b,cus_6bdd5640f07fb8,142,price_2d89ef57d9dd6e,4900,eur,month,past_due,2025-01-11 22:32:58.439928,2025-01-11 23:01:58.439928,2025-02-10 23:01:58.439928,False,,,,"{""source"": ""linkedin"", ""archetype"": ""engaged_free""}"
sub_5bc7a8f1489eb6,cus_7859d43dcb3dc0,144,price_592a77a9132978,29900,gbp,year,active,2025-01-09 04:12:32.454629,2025-01-09 04:18:32.454629,2025-02-08 04:18:32.454629,False,,,,"{""source"": ""partner"", ""archetype"": ""power_user""}"
sub_6e9ae117ed32a9,cus_73c2edc4727622,150,price_b7b6720e74aaaa,29900,USD,month,active,2025-01-06 13:52:42.413629,2025-01-06 14:13:42.413629,2025-02-05 14:13:42.413629,False,,2024-12-26 14:13:42.413629,,"{""source"": ""referral"", ""archetype"": ""enterprise_evaluator""}"
sub_2c15a72e0be261,cus_90511eb37e52f3,162,price_9e7a1e340b55dc,19900,Eur,month,active,2025-01-12 19:34:31.360012,2025-01-12 19:37:31.360012,2025-02-11 19:37:31.360012,False,,,2025-01-12 19:37:31.360012,"{""source"": ""referral"", ""archetype"": ""enterprise_evaluator""}"
sub_c2d9b0e6f1a0f3,cus_a6abfaa1ee137a,167,price_be6b8b0208d37e,2900,usd,year,active,2025-01-24 00:18:46.008312,2025-01-24 00:41:46.008312,2025-02-23 00:41:46.008312,False,,,,"{""source"": ""organic"", ""archetype"": ""engaged_free""}"
sub_ca7d58dddfd73e,cus_ce243c65d1a3ab,177,price_4df94b4058ec89,19900,USD,month,active,2025-02-03 01:59:27.208897,2025-02-03 02:20:27.208897,2025-03-05 02:20:27.208897,False,,,2025-02-03 02:20:27.208897,"{""source"": ""google_ads"", ""archetype"": ""power_user""}"
sub_21355665ba2cc8,cus_23ae733822e3bc,180,price_e33153306d35e6,29900,Eur,month,active,2025-02-04 21:51:32.510855,2025-02-04 22:12:32.510855,2025-03-06 22:12:32.510855,False,,,2025-02-04 22:12:32.510855,"{""source"": ""linkedin"", ""archetype"": ""power_user""}"
sub_f05fc0bf3960f4,cus_14bf1ed1a83678,181,price_8f8bc135d73ea1,29900,eur,month,active,2025-01-30 13:51:37.243470,2025-01-30 14:12:37.243470,2025-03-01 14:12:37.243470,False,,2025-01-19 14:12:37.243470,,"{""source"": ""google_ads"", ""archetype"": ""power_user""}"
sub_deb962209ab661,cus_72254479a833e4,188,price_5a839ac12a72d5,29900,GBP,month,unpaid,2025-01-19 23:36:50.815213,2025-01-19 23:55:50.815213,2025-02-18 23:55:50.815213,False,,2025-01-11 23:55:50.815213,,"{""source"": ""direct"", ""archetype"": ""enterprise_evaluator""}"
sub_58f2c34d2ba9bd,cus_4f5bbbe3885bde,193,price_dfe117306477f9,19900,GBP,month,active,2025-01-10 10:59:15.979610,2025-01-10 11:16:15.979610,2025-02-09 11:16:15.979610,False,,,,"{""source"": ""organic"", ""archetype"": ""power_user""}"
sub_aeedc5a9517a06,cus_aa3ebc93f9671f,194,price_43359b0e55af42,19900,USD,month,active,2025-01-23 17:14:50.014910,2025-01-23 17:33:50.014910,2025-02-22 17:33:50.014910,False,,,,"{""source"": ""direct"", ""archetype"": ""power_user""}"
sub_73c637d039bfb5,cus_be23390d593f1d,198,price_6bf48e60326332,19900,gbp,year,active,2025-01-08 06:13:49.181797,2025-01-08 06:33:49.181797,2025-02-07 06:33:49.181797,False,,2024-12-27 06:33:49.181797,2025-01-08 06:33:49.181797,"{""source"": ""referral"", ""archetype"": ""power_user""}"
sub_ba4538163e8d16,cus_e6c1862e1306bd,216,price_5dbdc756d3dfd4,4900,eur,month,active,2025-01-17 16:01:38.540126,2025-01-17 16:30:38.540126,2025-02-16 16:30:38.540126,False,,,,"{""source"": ""direct"", ""archetype"": ""engaged_free""}"
sub_b7b64e20a5415d,cus_14fd000a2dd84a,250,price_1957654d69ce3a,19900,USD,month,active,2025-01-27 09:11:18.588358,2025-01-27 09:16:18.588358,2025-02-26 09:16:18.588358,False,,,,"{""source"": ""direct"", ""archetype"": ""enterprise_evaluator""}"
sub_28119ad863207a,cus_393aaf72f49c8e,257,price_a04134af9b5c88,9900,USD,month,active,2025-01-27 01:18:58.989231,2025-01-27 01:25:58.989231,2025-02-26 01:25:58.989231,False,,,2025-01-27 01:25:58.989231,"{""source"": ""partner"", ""archetype"": ""power_user""}"
sub_a20921f56d17b9,cus_ad69b2e39caee1,259,price_77b8493e84ab33,9900,GBP,month,active,2025-04-11 09:18:38.889380,2025-04-11 09:32:38.889380,2025-05-11 09:32:38.889380,False,,2025-04-02 09:32:38.889380,2025-04-11 09:32:38.889380,"{""source"": ""linkedin"", ""archetype"": ""power_user""}"
sub_2e855d92f6e6e2,cus_938d7a5a87c53e,268,price_eaabeeb28498a5,29900,eur,year,active,2025-01-12 19:03:11.486374,2025-01-12 19:17:11.486374,2025-02-11 19:17:11.486374,False,,,2025-01-12 19:17:11.486374,"{""source"": ""organic"", ""archetype"": ""enterprise_evaluator""}"
sub_1bba26e05c268f,cus_f5955275b7acd3,276,price_d8bcec5693e30a,29900,Eur,month,canceled,2025-01-31 19:52:36.055586,2025-01-31 19:53:36.055586,2025-03-02 19:53:36.055586,True,2025-02-04 08:10:47.990038,,,"{""source"": ""direct"", ""archetype"": ""enterprise_evaluator""}"
sub_8525a596f01582,cus_62a56dc7f9b19a,287,price_668f55de3b580c,2900,eur,month,unpaid,2025-02-02 20:26:26.040431,2025-02-02 20:46:26.040431,2025-03-04 20:46:26.040431,False,,,2025-02-02 20:46:26.040431,"{""source"": ""google_ads"", ""archetype"": ""casual_explorer""}"
sub_ffe6396a1f7751,cus_04e90113324ad9,288,price_1ce721fb2f894b,2900,Eur,year,active,2025-02-24 06:45:50.346844,2025-02-24 07:06:50.346844,2025-03-26 07:06:50.346844,False,,,,"{""source"": ""linkedin"", ""archetype"": ""engaged_free""}"
sub_f10e923232f61c,cus_8857e953c1f91c,292,price_8b6c7e67886b7d,2900,gbp,month,active,2025-02-01 23:51:00.062766,2025-02-01 23:53:00.062766,2025-03-03 23:53:00.062766,False,,,,"{""source"": ""direct"", ""archetype"": ""engaged_free""}"
sub_f6bb15e18c05b2,cus_ee323930ecd1d5,304,price_af3a2da2f8e151,9900,Eur,month,active,2025-02-09 04:12:55.842191,2025-02-09 04:17:55.842191,2025-03-11 04:17:55.842191,False,,,,"{""source"": ""google_ads"", ""archetype"": ""power_user""}"
sub_af3adac4423b1a,cus_20b569e0566b05,308,price_c7bf83d73a94b2,2900,gbp,month,active,2025-01-07 09:44:45.309184,2025-01-07 10:10:45.309184,2025-02-06 10:10:45.309184,False,,,2025-01-07 10:10:45.309184,"{""source"": ""organic"", ""archetype"": ""engaged_free""}"
sub_24f07ce8eb1a2f,cus_97887b199d1aff,314,price_14aa21690c21db,29900,GBP,month,active,2025-01-23 22:25:08.357318,2025-01-23 22:44:08.357318,2025-02-22 22:44:08.357318,False,,,,"{""source"": ""google_ads"", ""archetype"": ""enterprise_evaluator""}"
sub_20134a9d8f76df,cus_1863cfad449922,322,price_a5304af2c2e861,29900,USD,month,active,2025-01-30 19:34:45.230488,2025-01-30 20:00:45.230488,2025-03-01 20:00:45.230488,False,,2025-01-23 20:00:45.230488,,"{""source"": ""linkedin"", ""archetype"": ""enterprise_evaluator""}"
sub_526fac5a57a3e8,cus_5e855461687554,329,price_ff69451dc225d0,29900,usd,month,active,2025-02-04 11:15:46.881616,2025-02-04 11:20:46.881616,2025-03-06 11:20:46.881616,False,,,,"{""source"": ""organic"", ""archetype"": ""power_user""}"
sub_bc2e9db8b81842,cus_f345b6c7af80d8,330,price_3064f1a9614aac,9900,usd,year,active,2025-03-02 08:33:59.941135,2025-03-02 08:53:59.941135,2025-04-01 08:53:59.941135,False,,2025-02-19 08:53:59.941135,2025-03-02 08:53:59.941135,"{""source"": ""referral"", ""archetype"": ""power_user""}"
sub_5e204989161a9a,cus_8877c96f1bfaff,334,price_68280f87b875bd,19900,Eur,month,active,2025-01-11 21:43:29.206622,2025-01-11 21:58:29.206622,2025-02-10 21:58:29.206622,False,,,,"{""source"": ""linkedin"", ""archetype"": ""enterprise_evaluator""}"
sub_adb099d23bd7fb,cus_6d97f5f38d827c,337,price_7252503bf52896,9900,gbp,month,active,2025-01-18 18:27:51.620437,2025-01-18 18:55:51.620437,2025-02-17 18:55:51.620437,False,,,,"{""source"": ""organic"", ""archetype"": ""power_user""}"
sub_4497316945fc41,cus_be8bcbc377831b,338,price_922e26659df507,19900,gbp,year,active,2025-02-13 18:40:51.063324,2025-02-13 18:51:51.063324,2025-03-15 18:51:51.063324,False,,2025-01-31 18:51:51.063324,,"{""source"": ""direct"", ""archetype"": ""power_user""}"
sub_1662d88e3d641f,cus_397d324b69d117,343,price_feb4ab214b39c7,19900,GBP,month,canceled,2025-01-11 01:40:52.747264,2025-01-11 02:10:52.747264,2025-02-10 02:10:52.747264,True,2025-01-19 21:11:36.728306,,,"{""source"": ""referral"", ""archetype"": ""enterprise_evaluator""}"
sub_b94d315aaa051a,cus_5299ff4bfdb974,363,price_9b675eb5553b63,29900,eur,month,active,2025-01-17 18:56:50.615698,2025-01-17 19:12:50.615698,2025-02-16 19:12:50.615698,False,,,,"{""source"": ""direct"", ""archetype"": ""power_user""}"
sub_dc7ab63ce4cd8b,cus_0d7aaa15a4509e,376,price_a4d587f3c0a5ad,29900,eur,month,active,2025-01-19 22:20:45.051499,2025-01-19 22:26:45.051499,2025-02-18 22:26:45.051499,False,,2025-01-09 22:26:45.051499,2025-01-19 22:26:45.051499,"{""source"": ""referral"", ""archetype"": ""enterprise_evaluator""}"
sub_e4d93c0a763e01,cus_2054cddf2ae836,382,price_6f9e3a66f52a7a,19900,usd,month,active,2025-05-04 12:02:29.042957,2025-05-04 12:23:29.042957,2025-06-03 12:23:29.042957,False,,2025-04-26 12:23:29.042957,,"{""source"": ""linkedin"", ""archetype"": ""power_user""}"
sub_4e64f574c4b1ea,cus_bae27c8de9ecd6,386,price_5e68830c685c43,29900,eur,year,active,2025-04-17 11:23:16.798788,2025-04-17 11:53:16.798788,2025-05-17 11:53:16.798788,False,,,,"{""source"": ""organic"", ""archetype"": ""power_user""}"
sub_bd204d11a0db21,cus_d82b89a98f047a,393,price_bdc67e1f84ea7a,4900,GBP,month,active,2025-01-20 04:19:02.831641,2025-01-20 04:29:02.831641,2025-02-19 04:29:02.831641,False,,,,"{""source"": ""organic"", ""archetype"": ""engaged_free""}"
sub_86a87edd5d1c8a,cus_b6ae05106a4115,397,price_c74baad7fc3f97,29900,gbp,month,active,2025-01-20 21:25:40.157941,2025-01-20 21:41:40.157941,2025-02-19 21:41:40.157941,False,,,,"{""source"": ""partner"", ""archetype"": ""enterprise_evaluator""}"
sub_b7d146e21c2fbf,cus_bfa480628c55ab,405,price_7a82665c6a44c8,9900,usd,month,active,2025-02-12 05:37:30.768315,2025-02-12 05:53:30.768315,2025-03-14 05:53:30.768315,False,,,,"{""source"": ""google_ads"", ""archetype"": ""power_user""}"
sub_f35ce41baf97b0,cus_69467bc39a7760,407,price_993f56aed52f78,19900,gbp,month,active,2025-01-27 15:34:07.569688,2025-01-27 16:03:07.569688,2025-02-26 16:03:07.569688,False,,2025-01-18 16:03:07.569688,2025-01-27 16:03:07.569688,"{""source"": ""direct"", ""archetype"": ""power_user""}"
sub_f746e05983b831,cus_7ec6eb90afee00,412,price_d5c2d2138b0a7a,9900,gbp,month,active,2025-02-07 18:06:40.346141,2025-02-07 18:16:40.346141,2025-03-09 18:16:40.346141,False,,2025-01-28 18:16:40.346141,,"{""source"": ""partner"", ""archetype"": ""power_user""}"
sub_99773741b3ab81,cus_f0e4a28bf9840b,413,price_0d323551306829,19900,gbp,year,active,2025-01-12 09:29:52.863297,2025-01-12 09:55:52.863297,2025-02-11 09:55:52.863297,False,,,,"{""source"": ""partner"", ""archetype"": ""power_user""}"
sub_9693777b589366,cus_4090c3a4a60c63,414,price_225dee1b1fecac,9900,eur,year,active,2025-02-21 06:13:25.168017,2025-02-21 06:17:25.168017,2025-03-23 06:17:25.168017,False,,,,"{""source"": ""referral"", ""archetype"": ""power_user""}"
sub_bd52614cfcbca0,cus_0cf58149a0cbf3,415,price_8c9a5e49844786,29900,eur,month,canceled,2025-01-26 22:57:53.101099,2025-01-26 23:08:53.101099,2025-02-25 23:08:53.101099,True,2025-02-03 06:35:53.447520,2025-01-13 23:08:53.101099,,"{""source"": ""google_ads"", ""archetype"": ""power_user""}"
sub_3ff0c0cacda585,cus_67459e02340ee4,418,price_85748ac3215de3,29900,GBP,year,active,2025-02-13 16:10:28.258102,2025-02-13 16:20:28.258102,2025-03-15 16:20:28.258102,False,,,2025-02-13 16:20:28.258102,"{""source"": ""organic"", ""archetype"": ""power_user""}"
sub_99eb37a15d9602,cus_2eed7b748dbb06,421,price_7ad99b4020a3b2,29900,gbp,year,active,2025-01-31 11:58:16.500499,2025-01-31 12:16:16.500499,2025-03-02 12:16:16.500499,False,,,,"{""source"": ""referral"", ""archetype"": ""power_user""}"
sub_b4e1d47acd4a98,cus_e834cd44ac21c8,442,price_3314ea685a952a,2900,GBP,month,active,2025-01-08 10:56:03.400774,2025-01-08 11:11:03.400774,2025-02-07 11:11:03.400774,False,,2024-12-29 11:11:03.400774,,"{""source"": ""linkedin"", ""archetype"": ""casual_explorer""}"
sub_368401b88cc423,cus_cfe695f3910179,455,price_593dc65275f52a,4900,usd,year,active,2025-01-23 02:08:46.195907,2025-01-23 02:32:46.195907,2025-02-22 02:32:46.195907,False,,,,"{""source"": ""linkedin"", ""archetype"": ""engaged_free""}"
sub_b48dcb3eb819ae,cus_1c3d443f76e7e0,456,price_b0456c42832e29,19900,usd,year,active,2025-01-15 22:38:04.042645,2025-01-15 23:01:04.042645,2025-02-14 23:01:04.042645,False,,,,"{""source"": ""partner"", ""archetype"": ""power_user""}"
sub_1d6945d2c0fce2,cus_e8c2d74e875f6a,461,price_be5e7203a39c9c,29900,usd,month,active,2025-01-11 08:21:51.732116,2025-01-11 08:34:51.732116,2025-02-10 08:34:51.732116,False,,2025-01-03 08:34:51.732116,,"{""source"": ""google_ads"", ""archetype"": ""enterprise_evaluator""}"
sub_4e5eeb26a0342f,cus_f891378c3a40ba,465,price_4b38ec3a61c84a,29900,gbp,month,past_due,2025-01-05 19:40:00.376491,2025-01-05 19:59:00.376491,2025-02-04 19:59:00.376491,False,,2024-12-26 19:59:00.376491,,"{""source"": ""direct"", ""archetype"": ""enterprise_evaluator""}"
sub_21220c14240875,cus_120008baec975d,471,price_89441794b99d40,9900,GBP,year,active,2025-01-22 16:54:43.557089,2025-01-22 17:08:43.557089,2025-02-21 17:08:43.557089,False,,2025-01-11 17:08:43.557089,,"{""source"": ""google_ads"", ""archetype"": ""power_user""}"
sub_d5a367d3d96733,cus_aa90a371892175,481,price_5e20430811c224,2900,Eur,month,canceled,2025-01-09 21:06:32.215203,2025-01-09 21:09:32.215203,2025-02-08 21:09:32.215203,True,2025-02-06 22:07:30.739806,,,"{""source"": ""linkedin"", ""archetype"": ""engaged_free""}"
sub_eb775c2d7730e7,cus_ff09e0f961bae5,494,price_fa7f37737c4700,29900,gbp,month,active,2025-01-31 08:49:16.555803,2025-01-31 09:05:16.555803,2025-03-02 09:05:16.555803,False,,,,"{""source"": ""organic"", ""archetype"": ""enterprise_evaluator""}"
sub_ffd245c65db050,cus_c15d45d84b0605,505,price_9e88f90b9e7118,2900,GBP,month,active,2025-01-22 06:25:06.638912,2025-01-22 06:43:06.638912,2025-02-21 06:43:06.638912,False,,2025-01-09 06:43:06.638912,,"{""source"": ""linkedin"", ""archetype"": ""engaged_free""}"
sub_3b2d5d6b7fe965,cus_6b33cd8b7fc3be,511,price_f002b0f987a8ec,29900,eur,month,active,2025-02-01 05:13:19.622763,2025-02-01 05:20:19.622763,2025-03-03 05:20:19.622763,False,,2025-01-21 05:20:19.622763,,"{""source"": ""referral"", ""archetype"": ""power_user""}"
sub_eef52d2ddaa161,cus_b79d8819f096ed,517,price_3283b35ac4ed94,9900,gbp,year,unpaid,2025-01-08 21:22:16.015178,2025-01-08 21:44:16.015178,2025-02-07 21:44:16.015178,False,,2024-12-25 21:44:16.015178,,"{""source"": ""direct"", ""archetype"": ""power_user""}"
sub_de93c1f52f0c7f,cus_e7b3145df93834,533,price_143dee791708cf,19900,USD,month,active,2025-01-24 06:21:05.475802,2025-01-24 06:30:05.475802,2025-02-23 06:30:05.475802,False,,2025-01-12 06:30:05.475802,,"{""source"": ""direct"", ""archetype"": ""power_user""}"
sub_0e5ab4c21eeb5d,cus_814df14f5dae7f,546,price_7e48ae43fb46f0,29900,usd,year,active,2025-02-05 14:53:30.044826,2025-02-05 15:01:30.044826,2025-03-07 15:01:30.044826,False,,,,"{""source"": ""partner"", ""archetype"": ""enterprise_evaluator""}"
sub_d3a963d48a4bb4,cus_c9a7017a4ae926,548,price_fb8cc48551bc9c,19900,Eur,month,active,2025-02-13 22:17:45.647712,2025-02-13 22:18:45.647712,2025-03-15 22:18:45.647712,False,,2025-01-31 22:18:45.647712,,"{""source"": ""referral"", ""archetype"": ""power_user""}"
sub_fa6c7edde1f52c,cus_090696839d6277,558,price_89601911aa9c62,29900,gbp,month,active,2025-03-11 17:47:51.353205,2025-03-11 18:05:51.353205,2025-04-10 18:05:51.353205,False,,,,"{""source"": ""referral"", ""archetype"": ""power_user""}"
sub_0220d027657033,cus_94a5bed41e24f7,560,price_39afd5b1f68e1f,19900,gbp,month,active,2025-01-11 20:48:48.954619,2025-01-11 20:50:48.954619,2025-02-10 20:50:48.954619,False,,,,"{""source"": ""organic"", ""archetype"": ""enterprise_evaluator""}"
sub_d7314bf4ab6bae,cus_5a612ac1398f05,561,price_9afa605a5fabf3,19900,Eur,year,active,2025-01-12 18:23:08.760968,2025-01-12 18:36:08.760968,2025-02-11 18:36:08.760968,False,,2025-01-05 18:36:08.760968,2025-01-12 18:36:08.760968,"{""source"": ""referral"", ""archetype"": ""enterprise_evaluator""}"
sub_4727498a0eebeb,cus_27a90985d70f85,563,price_e66d8e865a83e1,4900,usd,year,active,2025-01-23 18:17:59.515261,2025-01-23 18:25:59.515261,2025-02-22 18:25:59.515261,False,,,,"{""source"": ""partner"", ""archetype"": ""engaged_free""}"
sub_c8048bed4bf401,cus_7bac91a89e1534,564,price_216afa5d91672d,2900,eur,year,active,2025-02-03 01:00:04.812561,2025-02-03 01:17:04.812561,2025-03-05 01:17:04.812561,False,,2025-01-22 01:17:04.812561,,"{""source"": ""referral"", ""archetype"": ""engaged_free""}"
sub_4ea0ec212bed4b,cus_91db38e7bd01a4,573,price_e6bdfe00c1163e,9900,Eur,year,active,2025-02-15 00:16:15.387484,2025-02-15 00:18:15.387484,2025-03-17 00:18:15.387484,False,,,2025-02-15 00:18:15.387484,"{""source"": ""linkedin"", ""archetype"": ""power_user""}"
sub_e8265acd0a7c43,cus_3e6116e2f187c8,580,price_f9ace75c89bff5,19900,usd,year,active,2025-01-24 19:13:59.447696,2025-01-24 19:24:59.447696,2025-02-23 19:24:59.447696,False,,,,"{""source"": ""google_ads"", ""archetype"": ""power_user""}"
sub_e856c3bcb28e20,cus_dfaabc6076d692,582,price_db811749aa5b8f,4900,USD,month,active,2025-01-26 17:00:16.320724,2025-01-26 17:11:16.320724,2025-02-25 17:11:16.320724,False,,2025-01-17 17:11:16.320724,2025-01-26 17:11:16.320724,"{""source"": ""linkedin"", ""archetype"": ""engaged_free""}"
sub_aac9961c77e358,cus_c4c0dd594703b8,596,price_3d71ffff00d94a,19900,GBP,year,active,2025-01-09 10:11:51.997755,2025-01-09 10:39:51.997755,2025-02-08 10:39:51.997755,False,,,,"{""source"": ""linkedin"", ""archetype"": ""power_user""}"
sub_25de573afe5628,cus_8acea10541cfa1,598,price_bfe2d1646222b0,19900,eur,month,past_due,2025-02-01 13:11:12.322085,2025-02-01 13:19:12.322085,2025-03-03 13:19:12.322085,False,,,,"{""source"": ""linkedin"", ""archetype"": ""power_user""}"
sub_3d15cadcee2d03,cus_08fd9d3a3a08fe,609,price_e4fce3879ee841,2900,USD,month,past_due,2025-01-03 09:17:31.771487,2025-01-03 09:35:31.771487,2025-02-02 09:35:31.771487,False,,,,"{""source"": ""google_ads"", ""archetype"": ""engaged_free""}"
sub_e8d10a459c2359,cus_097865df3b9f0b,621,price_c2c5b80fe1b216,9900,usd,month,active,2025-02-15 05:04:09.850989,2025-02-15 05:05:09.850989,2025-03-17 05:05:09.850989,False,,,2025-02-15 05:05:09.850989,"{""source"": ""google_ads"", ""archetype"": ""power_user""}"
sub_bdd8d5747c4483,cus_666856d06154f0,626,price_e6354c0a10f3c9,4900,Eur,month,canceled,2025-02-09 23:05:30.446525,2025-02-09 23:24:30.446525,2025-03-11 23:24:30.446525,True,2025-02-12 05:08:47.498806,,2025-02-09 23:24:30.446525,"{""source"": ""partner"", ""archetype"": ""engaged_free""}"
sub_fcaaca603a7915,cus_c6313cfa0c0fb7,628,price_ae697bd10e6b76,9900,gbp,month,active,2025-01-20 11:24:56.568910,2025-01-20 11:49:56.568910,2025-02-19 11:49:56.568910,False,,,,"{""source"": ""partner"", ""archetype"": ""power_user""}"
sub_a15a067cf9c185,cus_43c87d0e91ab04,631,price_262b717962925b,19900,eur,year,active,2025-01-25 19:47:40.797769,2025-01-25 20:14:40.797769,2025-02-24 20:14:40.797769,False,,,,"{""source"": ""organic"", ""archetype"": ""enterprise_evaluator""}"
