invoice_id,customer_id,user_id,subscription_id,amount_due,amount_paid,currency,status,created,due_date,paid_at,period_start,period_end,attempt_count,next_payment_attempt
in_60d74ab8e25fce,cus_5fa58534ceb7fb,53,sub_e4a60f50e2c0fb,29900,29900,GBP,paid,2025-02-16 08:55:00.912354,2025-02-20 01:55:00.912354,2025-02-17 01:55:00.912354,2025-02-16 01:55:00.912354,2025-03-19 01:55:00.912354,2,
in_f8395f86a46c76,cus_5fa58534ceb7fb,53,sub_e4a60f50e2c0fb,29900,29900,eur,paid,2025-03-19 00:55:00.912354,2025-03-21 11:55:00.912354,2025-03-19 11:55:00.912354,2025-03-17 11:55:00.912354,2025-04-18 11:55:00.912354,1,
in_8678e80de039b7,cus_5fa58534ceb7fb,53,sub_e4a60f50e2c0fb,29900,29900,eur,paid,2025-04-17 08:55:00.912354,2025-04-20 01:55:00.912354,2025-04-18 01:55:00.912354,2025-04-18 01:55:00.912354,2025-05-18 01:55:00.912354,1,
in_2c163efc234039,cus_d1d8ad7b0aaeb9,58,sub_5428bdda633a12,4900,4900,eur,paid,2025-01-27 21:22:13.543456,2025-02-02 08:22:13.543456,2025-01-28 08:22:13.543456,2025-01-26 08:22:13.543456,2025-02-27 08:22:13.543456,1,
in_703e3be2ba430d,cus_f0e561650738c3,63,sub_6634f8af42b005,19900,19900,gbp,paid,2025-01-25 17:17:51.022274,2025-01-31 12:17:51.022274,2025-01-26 12:17:51.022274,2025-01-24 12:17:51.022274,2025-02-25 12:17:51.022274,2,
in_54535007051fde,cus_f0e561650738c3,63,sub_6634f8af42b005,19900,19900,gbp,paid,2025-02-07 17:08:27.722999,2025-02-15 17:08:27.722999,2025-02-08 17:08:27.722999,2025-02-06 17:08:27.722999,2025-03-10 17:08:27.722999,3,
in_90e7e5f2676d0e,cus_f0e561650738c3,63,sub_6634f8af42b005,19900,19900,usd,paid,2025-03-09 12:08:27.722999,2025-03-14 09:08:27.722999,2025-03-10 09:08:27.722999,2025-03-09 09:08:27.722999,2025-04-09 09:08:27.722999,1,
in_4fe3486d65156f,cus_f0e561650738c3,63,sub_6634f8af42b005,19900,19900,GBP,paid,2025-04-09 20:08:27.722999,2025-04-17 02:08:27.722999,2025-04-10 02:08:27.722999,2025-04-10 02:08:27.722999,2025-05-10 02:08:27.722999,1,
in_a38adcb603a3c4,cus_f0e561650738c3,63,sub_6634f8af42b005,19900,19900,USD,paid,2025-05-09 15:08:27.722999,2025-05-10 01:08:27.722999,2025-05-10 01:08:27.722999,2025-05-07 01:08:27.722999,2025-06-09 01:08:27.722999,1,
in_a7cd52bd9b8685,cus_f0e561650738c3,63,sub_6634f8af42b005,19900,19900,USD,paid,2025-06-07 17:08:27.722999,2025-06-15 10:08:27.722999,2025-06-08 10:08:27.722999,2025-06-05 10:08:27.722999,2025-07-08 10:08:27.722999,1,
in_a7a667c6e7f70b,cus_eddbf90939afd3,72,sub_2e1ccea06fe4fa,19900,19900,USD,paid,2025-01-13 04:17:14.949009,2025-01-14 08:17:14.949009,2025-01-13 08:17:14.949009,2025-01-11 08:17:14.949009,2025-02-12 08:17:14.949009,2,
in_381cedebff4697,cus_eddbf90939afd3,72,sub_2e1ccea06fe4fa,19900,19900,gbp,paid,2025-02-12 02:17:14.949009,2025-02-15 18:17:14.949009,2025-02-12 18:17:14.949009,2025-02-11 18:17:14.949009,2025-03-14 18:17:14.949009,1,
in_f1e51dc5224919,cus_eddbf90939afd3,72,sub_2e1ccea06fe4fa,19900,19900,eur,paid,2025-03-13 05:17:14.949009,2025-03-18 21:17:14.949009,2025-03-13 21:17:14.949009,2025-03-10 21:17:14.949009,2025-04-12 21:17:14.949009,1,
in_5340d285f1f9a5,cus_eddbf90939afd3,72,sub_2e1ccea06fe4fa,19900,19900,usd,paid,2025-04-12 17:17:14.949009,2025-04-19 02:17:14.949009,2025-04-13 02:17:14.949009,2025-04-12 02:17:14.949009,2025-05-13 02:17:14.949009,1,
in_b54f1572a452d5,cus_eddbf90939afd3,72,sub_2e1ccea06fe4fa,19900,19900,eur,paid,2025-05-13 11:17:14.949009,2025-05-14 18:17:14.949009,2025-05-13 18:17:14.949009,2025-05-12 18:17:14.949009,2025-06-12 18:17:14.949009,1,
in_bdb420a43d2cad,cus_5d49a3280a0f8c,80,sub_0db755d9c08823,19304,0,USD,void,2025-01-17 19:24:18.187259,2025-01-24 03:24:18.187259,,2025-01-17 03:24:18.187259,2025-02-17 03:24:18.187259,1,2025-01-22 03:24:18.187259
in_9f934f0293747b,cus_df7023cfce2a75,84,sub_7cbc9d184ca3d9,2900,2900,USD,paid,2025-01-13 05:49:30.614035,2025-01-14 05:49:30.614035,2025-01-14 05:49:30.614035,2025-01-09 05:49:30.614035,2025-02-13 05:49:30.614035,3,
in_1b60200ca4ec39,cus_df7023cfce2a75,84,sub_7cbc9d184ca3d9,2900,2900,eur,paid,2025-02-12 15:49:30.614035,2025-02-18 11:49:30.614035,2025-02-13 11:49:30.614035,2025-02-12 11:49:30.614035,2025-03-15 11:49:30.614035,1,
in_8aab3b2a6410c1,cus_df7023cfce2a75,84,sub_7cbc9d184ca3d9,2900,0,gbp,open,2025-03-15 09:49:30.614035,2025-03-15 14:49:30.614035,,2025-03-15 14:49:30.614035,2025-04-14 14:49:30.614035,2,2025-03-22 14:49:30.614035
in_20ab72e9b3c6ff,cus_df7023cfce2a75,84,sub_7cbc9d184ca3d9,2900,2900,Eur,paid,2025-04-13 10:49:30.614035,2025-04-19 10:49:30.614035,2025-04-14 10:49:30.614035,2025-04-11 10:49:30.614035,2025-05-14 10:49:30.614035,1,
in_d75a4f39bc5185,cus_df7023cfce2a75,84,sub_7cbc9d184ca3d9,2900,2900,usd,paid,2025-05-12 22:49:30.614035,2025-05-17 21:49:30.614035,2025-05-13 21:49:30.614035,2025-05-10 21:49:30.614035,2025-06-12 21:49:30.614035,1,
in_66e454aa7292a1,cus_5f888ae6b2d86c,87,sub_0befad0ab4c2f2,19900,19900,gbp,paid,2025-01-19 18:43:29.792584,2025-01-24 06:43:29.792584,2025-01-20 06:43:29.792584,2025-01-19 06:43:29.792584,2025-02-19 06:43:29.792584,2,
in_dea0fee5352fc8,cus_5f888ae6b2d86c,87,sub_0befad0ab4c2f2,20149,20149,usd,paid,2025-01-24 11:10:51.245969,2025-01-24 18:10:51.245969,2025-01-24 18:10:51.245969,2025-01-24 18:10:51.245969,2025-02-23 18:10:51.245969,1,
in_4b71748ab8164c,cus_5f888ae6b2d86c,87,sub_0befad0ab4c2f2,19900,19900,GBP,paid,2025-01-26 16:00:56.491794,2025-01-30 04:00:56.491794,2025-01-27 04:00:56.491794,2025-01-25 04:00:56.491794,2025-02-26 04:00:56.491794,2,
in_79fd7835ebc3ba,cus_5f888ae6b2d86c,87,sub_0befad0ab4c2f2,19900,19900,gbp,paid,2025-01-30 11:25:49.183717,2025-02-01 03:25:49.183717,2025-01-31 03:25:49.183717,2025-01-29 03:25:49.183717,2025-03-02 03:25:49.183717,3,
in_6e9c49d410eb37,cus_5f888ae6b2d86c,87,sub_0befad0ab4c2f2,19900,0,usd,open,2025-03-01 22:25:49.183717,2025-03-06 05:25:49.183717,,2025-03-02 05:25:49.183717,2025-04-01 05:25:49.183717,1,2025-03-07 05:25:49.183717
in_2747ebc42d81d3,cus_5f888ae6b2d86c,87,sub_0befad0ab4c2f2,19900,19900,usd,paid,2025-03-31 06:25:49.183717,2025-04-03 00:25:49.183717,2025-04-01 00:25:49.183717,2025-03-31 00:25:49.183717,2025-05-01 00:25:49.183717,1,
in_ca8bd0dc23a550,cus_eb6556e4a98712,99,sub_80f5d8d8395f69,19900,19900,eur,paid,2025-01-08 22:30:28.629584,2025-01-12 06:30:28.629584,2025-01-09 06:30:28.629584,2025-01-08 06:30:28.629584,2025-02-08 06:30:28.629584,2,
in_23d78857419f07,cus_eb6556e4a98712,99,sub_80f5d8d8395f69,19900,19900,usd,paid,2025-01-21 04:35:17.012059,2025-01-21 14:35:17.012059,2025-01-21 14:35:17.012059,2025-01-19 14:35:17.012059,2025-02-20 14:35:17.012059,2,
in_1bf7cb32bc8a47,cus_eb6556e4a98712,99,sub_80f5d8d8395f69,19900,19900,USD,paid,2025-01-26 01:25:33.218093,2025-02-01 06:25:33.218093,2025-01-26 06:25:33.218093,2025-01-25 06:25:33.218093,2025-02-25 06:25:33.218093,3,
in_a589254ddcd90a,cus_eb6556e4a98712,99,sub_80f5d8d8395f69,19900,19900,Eur,paid,2025-02-25 00:25:33.218093,2025-02-26 05:25:33.218093,2025-02-25 05:25:33.218093,2025-02-25 05:25:33.218093,2025-03-27 05:25:33.218093,1,
in_e05ab11cda1b37,cus_eb6556e4a98712,99,sub_80f5d8d8395f69,19900,19900,GBP,paid,2025-03-26 14:25:33.218093,2025-03-29 08:25:33.218093,2025-03-27 08:25:33.218093,2025-03-27 08:25:33.218093,2025-04-26 08:25:33.218093,1,
in_be92adcbe2a7b4,cus_eb6556e4a98712,99,sub_80f5d8d8395f69,19900,19900,gbp,paid,2025-04-26 04:25:33.218093,2025-04-26 13:25:33.218093,2025-04-26 13:25:33.218093,2025-04-26 13:25:33.218093,2025-05-26 13:25:33.218093,1,
in_d25cd134148e43,cus_eb6556e4a98712,99,sub_80f5d8d8395f69,19900,19900,gbp,paid,2025-05-25 22:25:33.218093,2025-06-01 05:25:33.218093,2025-05-26 05:25:33.218093,2025-05-25 05:25:33.218093,2025-06-25 05:25:33.218093,1,
in_7ddb7676014bdd,cus_c000f2ccd3d156,106,sub_3262fb9c94b1f3,28842,28842,USD,paid,2025-01-07 14:26:46.726847,2025-01-09 06:26:46.726847,2025-01-08 06:26:46.726847,2025-01-07 06:26:46.726847,2025-02-07 06:26:46.726847,2,
in_914847d3120521,cus_c000f2ccd3d156,106,sub_3262fb9c94b1f3,29900,29900,GBP,paid,2025-01-17 00:39:29.205940,2025-01-21 07:39:29.205940,2025-01-17 07:39:29.205940,2025-01-12 07:39:29.205940,2025-02-16 07:39:29.205940,3,
in_00fe2b57dedf6b,cus_c000f2ccd3d156,106,sub_3262fb9c94b1f3,29900,29900,eur,paid,2025-02-15 20:39:29.205940,2025-02-17 14:39:29.205940,2025-02-16 14:39:29.205940,2025-02-15 14:39:29.205940,2025-03-18 14:39:29.205940,1,
in_f5685be64739cf,cus_f885dabb709ab6,108,sub_e8f75ea7e4f646,29950,29950,GBP,paid,2025-01-23 18:59:52.177035,2025-01-26 01:59:52.177035,2025-01-24 01:59:52.177035,2025-01-23 01:59:52.177035,2025-02-23 01:59:52.177035,1,
in_6ea2e565368a94,cus_f885dabb709ab6,108,sub_e8f75ea7e4f646,29900,29900,gbp,paid,2025-02-22 03:59:52.177035,2025-02-23 15:59:52.177035,2025-02-22 15:59:52.177035,2025-02-20 15:59:52.177035,2025-03-24 15:59:52.177035,1,
in_fca6c97234fd36,cus_f885dabb709ab6,108,sub_e8f75ea7e4f646,29900,29900,GBP,paid,2025-03-24 12:59:52.177035,2025-03-27 00:59:52.177035,2025-03-25 00:59:52.177035,2025-03-23 00:59:52.177035,2025-04-24 00:59:52.177035,1,
in_5fb6ec0fe674c9,cus_03a9e07ee6a382,116,sub_bb61c2df1f75ba,2900,2900,Eur,paid,2025-01-06 06:34:19.003731,2025-01-12 13:34:19.003731,2025-01-06 13:34:19.003731,2025-01-01 13:34:19.003731,2025-02-05 13:34:19.003731,3,
in_0c6513242d6d35,cus_d8a0a216b92498,121,sub_0f07c8c844bf66,19900,19900,USD,paid,2025-01-03 22:38:36.338883,2025-01-07 19:38:36.338883,2025-01-04 19:38:36.338883,2024-12-31 19:38:36.338883,2025-02-03 19:38:36.338883,2,
in_070abe4917f674,cus_d8a0a216b92498,121,sub_0f07c8c844bf66,19900,19900,Eur,paid,2025-01-06 13:41:37.210531,2025-01-06 15:41:37.210531,2025-01-06 15:41:37.210531,2025-01-01 15:41:37.210531,2025-02-05 15:41:37.210531,2,
in_d1675fa89cec39,cus_d8a0a216b92498,121,sub_0f07c8c844bf66,19900,19900,Eur,paid,2025-01-12 06:23:15.194394,2025-01-16 12:23:15.194394,2025-01-12 12:23:15.194394,2025-01-11 12:23:15.194394,2025-02-11 12:23:15.194394,1,
in_aa209a284b4016,cus_d8a0a216b92498,121,sub_0f07c8c844bf66,19900,19900,Eur,paid,2025-02-11 02:23:15.194394,2025-02-17 05:23:15.194394,2025-02-11 05:23:15.194394,2025-02-11 05:23:15.194394,2025-03-13 05:23:15.194394,1,
in_b0ff4b6dfb958c,cus_d8a0a216b92498,121,sub_0f07c8c844bf66,19900,19900,Eur,paid,2025-03-12 20:23:15.194394,2025-03-19 03:23:15.194394,2025-03-13 03:23:15.194394,2025-03-11 03:23:15.194394,2025-04-12 03:23:15.194394,1,
in_8a5cd645f40cd2,cus_d8a0a216b92498,121,sub_0f07c8c844bf66,19900,19900,GBP,paid,2025-04-12 00:23:15.194394,2025-04-12 07:23:15.194394,2025-04-12 07:23:15.194394,2025-04-10 07:23:15.194394,2025-05-12 07:23:15.194394,1,
in_26fe9760653fc0,cus_2b5aac3391ac87,129,sub_5912e7f11c9c3e,29900,29900,usd,paid,2025-02-04 20:29:41.305476,2025-02-10 16:29:41.305476,2025-02-05 16:29:41.305476,2025-01-31 16:29:41.305476,2025-03-07 16:29:41.305476,2,
in_799328d340411f,cus_2b5aac3391ac87,129,sub_5912e7f11c9c3e,29900,29900,GBP,paid,2025-02-11 18:55:26.083591,2025-02-18 05:55:26.083591,2025-02-12 05:55:26.083591,2025-02-11 05:55:26.083591,2025-03-14 05:55:26.083591,3,
in_73f020b010fe17,cus_2b5aac3391ac87,129,sub_5912e7f11c9c3e,29900,29900,GBP,paid,2025-03-14 10:55:26.083591,2025-03-18 11:55:26.083591,2025-03-14 11:55:26.083591,2025-03-13 11:55:26.083591,2025-04-13 11:55:26.083591,1,
in_86b18838a895bb,cus_2b5aac3391ac87,129,sub_5912e7f11c9c3e,29900,29900,Eur,paid,2025-04-12 22:55:26.083591,2025-04-14 15:55:26.083591,2025-04-13 15:55:26.083591,2025-04-11 15:55:26.083591,2025-05-13 15:55:26.083591,1,
in_d722cb6136eb40,cus_2b5aac3391ac87,129,sub_5912e7f11c9c3e,29900,29900,usd,paid,2025-05-12 09:55:26.083591,2025-05-15 04:55:26.083591,2025-05-13 04:55:26.083591,2025-05-10 04:55:26.083591,2025-06-12 04:55:26.083591,1,
in_7cc829b3163d78,cus_2b5aac3391ac87,129,sub_5912e7f11c9c3e,29900,29900,eur,paid,2025-06-11 23:55:26.083591,2025-06-12 17:55:26.083591,2025-06-12 17:55:26.083591,2025-06-11 17:55:26.083591,2025-07-12 17:55:26.083591,1,
in_d3b607d86b8e2f,cus_6bdd5640f07fb8,142,sub_dd0780b36c204b,4900,4900,GBP,paid,2025-01-11 17:01:58.439928,2025-01-15 23:01:58.439928,2025-01-11 23:01:58.439928,2025-01-10 23:01:58.439928,2025-02-10 23:01:58.439928,1,
in_52648fae2d0431,cus_7859d43dcb3dc0,144,sub_5bc7a8f1489eb6,29900,29900,USD,paid,2025-01-08 18:18:32.454629,2025-01-12 04:18:32.454629,2025-01-09 04:18:32.454629,2025-01-05 04:18:32.454629,2025-02-08 04:18:32.454629,1,
in_f5b94fae127b71,cus_7859d43dcb3dc0,144,sub_5bc7a8f1489eb6,29900,0,USD,void,2025-01-13 20:06:54.887347,2025-01-20 18:06:54.887347,,2025-01-12 18:06:54.887347,2025-02-13 18:06:54.887347,2,2025-01-21 18:06:54.887347
in_4c37f3548df5dd,cus_7859d43dcb3dc0,144,sub_5bc7a8f1489eb6,29900,29900,USD,paid,2025-01-15 00:53:35.183889,2025-01-19 00:53:35.183889,2025-01-16 00:53:35.183889,2025-01-16 00:53:35.183889,2025-02-15 00:53:35.183889,1,
in_6e577ea97f2e67,cus_7859d43dcb3dc0,144,sub_5bc7a8f1489eb6,29900,29900,eur,paid,2025-01-28 02:42:24.439871,2025-01-29 10:42:24.439871,2025-01-28 10:42:24.439871,2025-01-28 10:42:24.439871,2025-02-27 10:42:24.439871,3,
in_7f3d2a99b98c27,cus_7859d43dcb3dc0,144,sub_5bc7a8f1489eb6,29900,0,gbp,open,2025-02-26 12:42:24.439871,2025-03-03 10:42:24.439871,,2025-02-26 10:42:24.439871,2025-03-29 10:42:24.439871,2,2025-03-02 10:42:24.439871
in_705d6162cb5bbc,cus_73c2edc4727622,150,sub_6e9ae117ed32a9,28663,28663,usd,paid,2025-01-06 10:13:42.413629,2025-01-13 14:13:42.413629,2025-01-06 14:13:42.413629,2025-01-04 14:13:42.413629,2025-02-05 14:13:42.413629,3,
in_7377cdc09add33,cus_73c2edc4727622,150,sub_6e9ae117ed32a9,29900,29900,gbp,paid,2025-02-05 22:13:42.413629,2025-02-09 23:13:42.413629,2025-02-05 23:13:42.413629,2025-02-02 23:13:42.413629,2025-03-07 23:13:42.413629,1,
in_bfb512f4faef4a,cus_73c2edc4727622,150,sub_6e9ae117ed32a9,29900,29900,usd,paid,2025-03-06 23:13:42.413629,2025-03-13 15:13:42.413629,2025-03-07 15:13:42.413629,2025-03-06 15:13:42.413629,2025-04-06 15:13:42.413629,1,
in_8c3e6a94451599,cus_90511eb37e52f3,162,sub_2c15a72e0be261,19900,19900,gbp,paid,2025-01-11 19:37:31.360012,2025-01-16 19:37:31.360012,2025-01-12 19:37:31.360012,2025-01-11 19:37:31.360012,2025-02-11 19:37:31.360012,1,
in_140fa900e559a2,cus_90511eb37e52f3,162,sub_2c15a72e0be261,19900,0,gbp,open,2025-02-11 18:37:31.360012,2025-02-14 03:37:31.360012,,2025-02-12 03:37:31.360012,2025-03-14 03:37:31.360012,1,2025-02-16 03:37:31.360012
in_7903bf553f09ed,cus_90511eb37e52f3,162,sub_2c15a72e0be261,19900,19900,GBP,paid,2025-03-13 06:37:31.360012,2025-03-13 14:37:31.360012,2025-03-13 14:37:31.360012,2025-03-10 14:37:31.360012,2025-04-12 14:37:31.360012,1,
in_ffebad800bb788,cus_90511eb37e52f3,162,sub_2c15a72e0be261,19900,19900,gbp,paid,2025-04-11 12:37:31.360012,2025-04-14 09:37:31.360012,2025-04-12 09:37:31.360012,2025-04-11 09:37:31.360012,2025-05-12 09:37:31.360012,1,
in_c6d78a370b993f,cus_a6abfaa1ee137a,167,sub_c2d9b0e6f1a0f3,2900,2900,GBP,paid,2025-01-23 00:41:46.008312,2025-01-24 00:41:46.008312,2025-01-24 00:41:46.008312,2025-01-23 00:41:46.008312,2025-02-23 00:41:46.008312,3,
in_6ffd5c9d7f0925,cus_a6abfaa1ee137a,167,sub_c2d9b0e6f1a0f3,2900,0,usd,open,2025-02-22 17:41:46.008312,2025-02-22 22:41:46.008312,,2025-02-20 22:41:46.008312,2025-03-24 22:41:46.008312,1,2025-02-26 22:41:46.008312
in_a4e425bfc5dcdc,cus_ce243c65d1a3ab,177,sub_ca7d58dddfd73e,19900,19900,GBP,paid,2025-02-02 21:20:27.208897,2025-02-03 02:20:27.208897,2025-02-03 02:20:27.208897,2025-02-01 02:20:27.208897,2025-03-05 02:20:27.208897,2,
in_799a67dcf27f78,cus_ce243c65d1a3ab,177,sub_ca7d58dddfd73e,19900,19900,usd,paid,2025-03-04 01:20:27.208897,2025-03-11 22:20:27.208897,2025-03-04 22:20:27.208897,2025-03-01 22:20:27.208897,2025-04-03 22:20:27.208897,1,
in_367359830ac438,cus_ce243c65d1a3ab,177,sub_ca7d58dddfd73e,19900,0,GBP,open,2025-04-03 19:20:27.208897,2025-04-05 23:20:27.208897,,2025-04-03 23:20:27.208897,2025-05-03 23:20:27.208897,2,2025-04-10 23:20:27.208897
in_52d97b7077e7a1,cus_ce243c65d1a3ab,177,sub_ca7d58dddfd73e,19900,19900,gbp,paid,2025-05-03 15:20:27.208897,2025-05-06 11:20:27.208897,2025-05-04 11:20:27.208897,2025-05-03 11:20:27.208897,2025-06-03 11:20:27.208897,1,
in_e9301a6c564d1a,cus_23ae733822e3bc,180,sub_21355665ba2cc8,29900,0,GBP,void,2025-02-04 06:12:32.510855,2025-02-06 22:12:32.510855,,2025-02-03 22:12:32.510855,2025-03-06 22:12:32.510855,3,2025-02-08 22:12:32.510855
in_bc3f695b55b1c6,cus_23ae733822e3bc,180,sub_21355665ba2cc8,29900,29900,usd,paid,2025-02-04 07:42:04.989556,2025-02-05 00:42:04.989556,2025-02-05 00:42:04.989556,2025-02-02 00:42:04.989556,2025-03-07 00:42:04.989556,2,
in_ef6f809f4d661e,cus_23ae733822e3bc,180,sub_21355665ba2cc8,29900,29900,GBP,paid,2025-02-13 12:04:10.241010,2025-02-16 02:04:10.241010,2025-02-14 02:04:10.241010,2025-02-10 02:04:10.241010,2025-03-16 02:04:10.241010,2,
in_99ead3432e3fe9,cus_23ae733822e3bc,180,sub_21355665ba2cc8,29900,29900,GBP,paid,2025-02-16 18:26:01.521536,2025-02-22 09:26:01.521536,2025-02-17 09:26:01.521536,2025-02-13 09:26:01.521536,2025-03-19 09:26:01.521536,2,
