user_id,signup_date,archetype,country,device,lead_source,plan,mrr,is_retained_90d,subscription_start,subscription_end,days_to_churn,data_quality_score
17,2025-01-16 01:15:28.470915,bounce_visitor,CA,mobile_web,referral,free,0,False,2025-01-16 13:05:17.435609,2025-02-22 14:53:25.406312395,37.56802008561797,0.77
18,2025-01-06 21:08:46.244256,support_heavy,SE,desktop,organic,free,0,True,2025-01-07 12:23:33.729250,,,0.86
19,2025-01-07 12:30:26.711428,power_user,AU,desktop,linkedin,enterprise,299,False,2025-01-08 14:26:25.941283,2025-02-28 06:09:24.383501610,51.7353897230742,0.69
20,2025-01-07 04:17:13.519502,engaged_free,CA,web,referral,starter,49,True,2025-01-08 01:58:54.712923,,,0.99
21,2025-01-05 08:25:19.438310,enterprise_evaluator,DE,web,partner,enterprise,299,True,2025-01-06 00:30:50.582389,,,0.61
22,2025-01-11 11:28:01.444147,bounce_visitor,CA,tablet,organic,free,0,False,2025-01-13 11:45:32.476791,2025-02-04 21:23:52.012146764,24.41377972221948,0.87
23,2025-01-09 21:46:23.581678,casual_explorer,AU,mobile_web,linkedin,free,0,False,2025-01-10 19:55:28.557313,2025-01-17 03:43:11.104564708,7.2477722556331585,0.7
24,2025-01-10 12:45:37.585959,bounce_visitor,UK,desktop,direct,free,0,True,2025-01-12 01:35:41.757151,,,0.64
25,2025-01-06 19:15:06.140593,support_heavy,DE,mobile_web,referral,basic,29,False,2025-01-09 01:34:50.120274,2025-02-01 01:32:58.086139952,25.262406777163797,0.61
26,2025-01-04 20:27:24.094583,casual_explorer,FR,web,organic,basic,29,False,2025-01-05 20:46:56.915457,2025-01-26 10:17:35.616590407,21.57652224545611,0.81
27,2025-01-17 21:22:48.305635,support_heavy,SE,ios,direct,free,0,False,2025-01-20 06:30:03.522526,2025-01-25 14:52:32.944084267,7.728988870940567,0.69
28,2025-03-02 09:38:26.797887,engaged_free,UK,web,direct,free,0,True,2025-03-06 22:50:48.091201,,,0.96
29,2025-01-07 05:03:24.276715,bounce_visitor,DE,android,linkedin,free,0,False,2025-01-11 02:11:10.239858,2025-01-08 20:49:54.829771183,1.6572980677799245,0.76
30,2025-01-29 13:11:54.226778,support_heavy,NL,mobile_web,direct,free,0,True,2025-01-31 18:16:02.152152,,,0.83
31,2025-02-12 05:37:45.856009,casual_explorer,UK,desktop,google_ads,free,0,True,2025-02-13 13:32:19.985776,,,0.78
32,2025-01-03 21:39:28.276380,enterprise_evaluator,US,desktop,partner,enterprise,299,True,2025-01-04 07:06:52.684021,,,0.75
33,2025-01-20 03:28:41.340822,bounce_visitor,US,mobile_web,linkedin,free,0,True,2025-01-21 01:28:55.678707,,,0.71
34,2025-02-24 04:25:52.990387,engaged_free,DE,desktop,linkedin,free,0,True,2025-02-25 07:47:04.487776,,,0.74
35,2025-01-17 13:56:48.123784,bounce_visitor,US,tablet,referral,free,0,False,2025-01-20 03:28:16.563354,2025-02-15 11:02:40.264046807,28.879075697486208,0.71
36,2025-01-16 13:18:31.547039,power_user,IE,desktop,linkedin,pro,99,True,2025-01-19 07:24:53.579692,,,0.98
37,2025-01-13 01:40:53.643593,casual_explorer,DE,mobile_web,organic,basic,29,True,2025-01-13 05:26:30.094434,,,0.72
38,2025-01-05 16:32:40.298512,engaged_free,UK,web,google_ads,starter,49,True,2025-01-11 04:36:23.810267,,,0.88
39,2025-01-02 12:48:07.743765,bounce_visitor,CA,ios,linkedin,free,0,False,2025-01-03 05:36:02.515406,2025-01-08 00:02:43.127713359,5.4684650919948545,0.73
40,2025-01-03 04:53:04.865630,support_heavy,AU,tablet,google_ads,basic,29,True,2025-01-06 12:26:19.180484,,,0.92
41,2025-02-06 16:03:42.286540,support_heavy,AU,web,referral,basic,29,False,2025-02-09 20:54:26.434843,2025-02-08 11:15:47.401200207,1.8000591974560807,0.86
42,2025-01-24 19:54:10.839541,bounce_visitor,DE,mobile_web,google_ads,free,0,False,2025-01-25 00:38:25.515113,2025-03-30 16:34:50.842631556,64.86157410984437,0.83
43,2025-01-10 09:34:42.604844,power_user,CA,ios,google_ads,enterprise,299,True,2025-01-10 11:03:55.095575,,,0.61
44,2025-01-07 16:46:14.191373,support_heavy,IE,web,partner,basic,29,False,2025-01-08 07:58:41.821792,2025-02-15 18:03:21.036116438,39.05355144378985,0.99
45,2025-01-28 16:18:36.966096,casual_explorer,DE,mobile_web,partner,free,0,False,2025-02-04 15:53:22.907071,2025-02-18 21:15:45.134529672,21.206344542056357,0.89
46,2025-01-08 15:11:25.654740,power_user,JP,ios,partner,enterprise,299,True,2025-01-09 00:58:13.641308,,,0.63
47,2025-01-18 11:53:16.886351,casual_explorer,JP,ios,organic,free,0,False,2025-01-19 15:55:16.881895,2025-01-19 13:02:47.615080854,1.0482723232621585,0.7
48,2025-01-04 00:42:10.024429,engaged_free,IE,web,partner,free,0,True,2025-01-06 16:58:32.231991,,,0.82
49,2025-01-09 03:51:13.073730,bounce_visitor,JP,android,partner,free,0,False,2025-01-09 09:59:55.014194,2025-01-28 09:55:44.865459564,19.253145737610687,0.74
50,2025-01-02 11:36:00.486387,engaged_free,FR,tablet,referral,basic,29,True,2025-01-02 12:25:51.664788,,,0.91
51,2025-01-07 09:02:26.912730,bounce_visitor,IE,ios,google_ads,free,0,False,2025-01-13 08:01:22.035345,2025-01-23 14:08:55.757347622,16.212833849741,0.95
52,2025-01-01 05:33:08.031193,casual_explorer,JP,web,partner,basic,29,False,2025-01-03 12:50:36.077852,2025-01-05 11:24:40.832871758,4.244129649059656,0.85
53,2025-02-13 07:17:10.846080,enterprise_evaluator,FR,mobile_web,google_ads,enterprise,299,True,2025-02-15 00:10:27.280512,,,0.65
54,2025-01-26 18:36:31.186170,support_heavy,DE,web,organic,basic,29,False,2025-01-28 21:12:15.061653,2025-02-04 23:37:19.052208736,9.208887338411266,0.68
55,2025-01-04 14:57:26.575739,casual_explorer,UK,tablet,linkedin,free,0,True,2025-01-06 13:10:52.891070,,,0.73
56,2025-01-08 07:14:24.458243,bounce_visitor,JP,ios,direct,free,0,False,2025-01-11 16:05:51.329712,2025-02-27 09:02:10.576345219,50.07483932988678,0.71
57,2025-01-18 21:32:09.409338,engaged_free,NL,mobile_web,organic,free,0,True,2025-01-22 03:37:54.284614,,,0.71
58,2025-01-21 19:57:08.289223,engaged_free,US,android,referral,starter,49,False,2025-01-22 18:17:02.437210,2025-01-22 02:21:10.215223636,0.2666889583406773,0.91
59,2025-02-10 01:14:58.750022,casual_explorer,US,tablet,organic,free,0,False,2025-02-10 14:18:40.858379,2025-02-19 13:24:17.969564891,9.506472448413088,0.75
60,2025-01-11 07:03:55.863899,casual_explorer,CA,tablet,linkedin,free,0,True,2025-01-11 12:07:19.259364,,,0.62
61,2025-01-29 04:10:16.377686,enterprise_evaluator,AU,mobile_web,direct,business,199,True,2025-01-31 10:22:55.114695,,,0.79
62,2025-01-02 07:18:17.579416,casual_explorer,DE,mobile_web,organic,free,0,True,2025-01-03 22:01:47.564428,,,0.69
63,2025-01-23 19:12:47.034880,enterprise_evaluator,IE,ios,google_ads,business,199,True,2025-01-23 22:03:30.913754,,,0.82
64,2025-02-02 19:10:57.788830,casual_explorer,UK,mobile_web,organic,basic,29,True,2025-02-05 15:59:14.587365,,,0.85
65,2025-01-02 07:37:40.756083,engaged_free,NL,ios,organic,free,0,True,2025-01-05 18:26:12.871621,,,0.88
66,2025-01-02 07:54:55.412640,engaged_free,NL,tablet,organic,starter,49,False,2025-01-06 13:49:56.085558,2025-01-15 11:33:01.078654636,13.151454467761951,0.69
67,2025-01-14 10:38:15.213851,support_heavy,CA,mobile_web,linkedin,basic,29,False,2025-01-17 10:41:49.924842,2025-02-13 20:14:17.051850296,30.400021273139973,0.82
68,2025-02-05 12:33:56.027420,casual_explorer,DE,tablet,partner,basic,29,False,2025-02-06 13:30:11.428796,2025-02-23 20:18:22.055408264,18.322523472086424,0.83
69,2025-01-22 20:43:09.277329,bounce_visitor,SE,web,linkedin,free,0,False,2025-01-24 14:44:44.970030,2025-01-24 10:42:34.071957302,1.5829258637534922,0.98
70,2025-01-06 01:07:44.028017,casual_explorer,CA,tablet,direct,free,0,False,2025-01-09 06:53:26.968240,2025-01-13 03:43:52.257278697,7.108428579417788,0.99
71,2025-01-06 20:15:48.655202,casual_explorer,IE,android,referral,free,0,True,2025-01-06 23:56:35.740967,,,0.82
72,2025-01-12 02:33:35.337403,enterprise_evaluator,US,desktop,organic,business,199,True,2025-01-14 01:58:05.434499,,,0.83
73,2025-01-01 16:44:38.854420,support_heavy,JP,desktop,referral,basic,29,False,2025-01-01 22:09:47.209428,2025-01-03 16:39:45.031731244,1.9965992744356673,0.73
74,2025-01-16 14:42:31.636152,engaged_free,UK,mobile_web,referral,basic,29,True,2025-01-17 12:09:23.248321,,,0.7
75,2025-01-01 11:49:33.134423,casual_explorer,US,tablet,referral,free,0,False,2025-01-03 08:08:34.144391,2025-02-10 13:55:08.520616653,40.08721511798212,0.71
76,2025-01-02 04:32:01.079098,engaged_free,UK,android,partner,basic,29,True,2025-01-04 02:09:10.893683,,,0.77
77,2025-01-31 03:44:28.524541,enterprise_evaluator,IE,web,direct,business,199,True,2025-02-03 11:35:46.851075,,,0.99
78,2025-01-14 12:37:14.472760,engaged_free,SE,desktop,linkedin,starter,49,False,2025-01-18 05:13:28.275005,2025-02-01 03:46:47.006487535,17.631626547772385,0.94
79,2025-01-09 00:54:02.077480,casual_explorer,IE,desktop,referral,free,0,False,2025-01-12 09:21:15.170982,2025-01-13 08:29:20.609235767,4.316186710136163,1.0
80,2025-01-13 03:50:04.464063,enterprise_evaluator,IE,tablet,google_ads,business,199,True,2025-01-16 22:47:01.068205,,,0.7
81,2025-01-03 01:47:12.062230,casual_explorer,FR,desktop,organic,basic,29,False,2025-01-05 07:15:01.806599,2025-01-05 08:40:04.014611680,2.2867124118250124,0.85
82,2025-01-02 19:23:38.701332,casual_explorer,JP,ios,direct,free,0,True,2025-01-05 18:25:29.364922,,,0.81
83,2025-01-13 00:59:29.338252,support_heavy,SE,web,partner,free,0,True,2025-01-14 23:28:28.679760,,,0.88
84,2025-01-03 04:46:49.866392,engaged_free,CA,ios,google_ads,basic,29,True,2025-01-05 05:22:27.937069,,,0.82
85,2025-01-20 10:35:16.113040,engaged_free,CA,web,referral,free,0,False,2025-01-21 03:34:06.552162,2025-01-22 10:08:35.562373480,1.9814751080263646,0.81
86,2025-01-24 21:06:07.963654,bounce_visitor,JP,web,google_ads,free,0,True,2025-01-27 19:25:16.772668,,,0.63
87,2025-01-15 13:05:39.623065,power_user,DE,web,linkedin,business,199,True,2025-01-15 20:16:06.322481,,,0.86
88,2025-01-07 08:41:24.553270,engaged_free,DE,android,partner,starter,49,False,2025-01-14 14:15:31.737501,2025-01-18 02:40:08.305309432,10.749117500456352,0.84
89,2025-01-26 20:55:35.904185,engaged_free,JP,tablet,direct,basic,29,False,2025-01-27 01:23:06.589063,2025-01-31 10:14:36.378075278,4.554866595952298,0.65
90,2025-01-04 11:11:35.499423,casual_explorer,US,desktop,google_ads,free,0,False,2025-01-06 19:28:16.144020,2025-02-24 20:28:04.681051943,51.38644886144611,0.62
91,2025-01-15 19:53:37.422716,bounce_visitor,NL,desktop,linkedin,free,0,False,2025-01-20 21:39:18.067530,2025-01-23 07:23:40.906550592,7.479206988826317,0.62
92,2025-01-25 14:44:11.997462,casual_explorer,DE,tablet,referral,free,0,True,2025-01-26 02:00:42.550050,,,0.75
93,2025-01-15 10:40:50.376940,casual_explorer,NL,ios,partner,basic,29,False,2025-01-15 13:46:13.395804,2025-03-30 14:41:17.610729106,74.16698187255909,0.66
94,2025-01-18 10:20:56.975414,engaged_free,UK,ios,direct,starter,49,False,2025-01-19 22:51:29.830291,2025-02-17 01:07:54.407755409,29.615942503951473,0.7
95,2025-01-08 02:31:09.820304,casual_explorer,AU,web,organic,free,0,False,2025-01-08 13:55:19.658780,2025-02-12 12:47:31.050067309,35.428023492630885,0.73
96,2025-02-03 04:20:55.550326,engaged_free,FR,ios,linkedin,free,0,True,2025-02-05 06:34:44.608035,,,0.79
97,2025-01-21 00:34:24.712915,bounce_visitor,NL,web,referral,free,0,False,2025-01-21 07:07:29.263326,2025-01-28 09:50:49.748249510,7.3864008719272185,0.71
98,2025-01-16 13:45:39.096662,casual_explorer,NL,android,partner,free,0,True,2025-01-17 09:00:31.520515,,,0.97
99,2025-01-04 19:54:56.998702,power_user,AU,mobile_web,direct,business,199,True,2025-01-05 05:49:38.772317,,,0.71
100,2025-02-04 01:28:13.878365,engaged_free,DE,android,partner,starter,49,False,2025-02-12 03:19:31.244653,2025-02-06 00:04:33.525788766,1.9418940674047298,0.64
101,2025-02-22 08:03:41.324708,casual_explorer,CA,desktop,organic,basic,29,True,2025-02-23 16:27:09.153969,,,0.89
102,2025-01-20 00:17:22.483304,support_heavy,NL,ios,linkedin,free,0,True,2025-01-23 15:49:48.464702,,,0.68
103,2025-01-19 14:49:08.766000,enterprise_evaluator,US,mobile_web,organic,enterprise,299,True,2025-01-21 03:02:37.861562,,,0.88
104,2025-01-02 08:52:53.114597,bounce_visitor,FR,tablet,linkedin,free,0,False,2025-01-04 04:08:05.652466,2025-01-29 19:31:33.313935052,27.44352082567191,0.75
105,2025-01-12 22:20:49.185163,casual_explorer,UK,tablet,google_ads,free,0,True,2025-01-13 02:45:41.719444,,,0.66
106,2025-01-02 20:40:15.364482,power_user,NL,desktop,linkedin,enterprise,299,True,2025-01-03 17:15:54.047016,,,0.97
107,2025-02-20 07:08:36.600683,support_heavy,IE,android,organic,basic,29,False,2025-02-20 18:09:19.588910,2025-02-20 08:57:45.839587595,0.07580137621059008,0.75
108,2025-01-20 04:19:34.413528,enterprise_evaluator,NL,android,organic,enterprise,299,True,2025-01-22 22:57:53.358260,,,0.92
109,2025-01-04 02:15:55.162366,support_heavy,JP,desktop,referral,free,0,True,2025-01-04 20:30:33.816443,,,0.84
110,2025-01-10 00:29:56.519325,bounce_visitor,NL,desktop,linkedin,free,0,False,2025-01-11 23:27:50.300971,2025-01-18 22:36:17.682649616,8.921078279220072,0.82
111,2025-01-13 22:09:07.205810,casual_explorer,US,ios,direct,free,0,False,2025-01-14 01:27:40.369893,2025-01-16 07:16:17.194678210,2.379976723011746,0.69
112,2025-01-09 11:19:45.298694,casual_explorer,AU,android,google_ads,basic,29,False,2025-01-09 18:31:41.293297,2025-02-13 09:01:18.202624261,34.90385305474839,0.92
113,2025-01-12 10:28:08.360032,bounce_visitor,AU,android,referral,free,0,False,2025-01-24 13:54:27.895577,2025-02-11 20:53:12.730035345,30.43407835652017,0.9
114,2025-01-23 14:45:24.150478,bounce_visitor,US,desktop,referral,free,0,True,2025-01-25 07:15:17.853022,,,0.9
115,2025-01-07 06:43:22.273234,support_heavy,FR,tablet,referral,basic,29,True,2025-01-08 07:01:33.441507,,,0.92
116,2025-01-04 21:44:29.357088,engaged_free,UK,android,linkedin,free,0,False,2025-01-07 06:34:24.852418,2025-01-07 03:02:57.623658904,2.2211604927187647,0.82
117,2025-01-07 08:42:21.419156,engaged_free,JP,desktop,direct,starter,49,True,2025-01-08 09:17:37.469114,,,0.78
118,2025-01-03 11:55:44.536967,enterprise_evaluator,NL,desktop,google_ads,business,199,True,2025-01-05 09:18:20.035118,,,0.61
119,2025-02-10 08:23:45.143552,support_heavy,FR,tablet,partner,basic,29,False,2025-02-12 19:21:32.223498,2025-02-22 09:04:32.907130665,12.02833059697529,0.66
120,2025-01-14 23:57:34.230716,bounce_visitor,CA,android,partner,free,0,False,2025-01-15 05:14:37.875294,2025-01-18 23:59:08.391659650,4.001089825736682,0.94
121,2025-01-02 23:10:18.189621,enterprise_evaluator,IE,ios,direct,business,199,True,2025-01-03 09:04:07.681921,,,0.93
122,2025-01-06 14:20:14.078723,casual_explorer,NL,tablet,organic,basic,29,True,2025-01-09 07:47:16.125741,,,0.68
123,2025-01-14 21:13:46.993356,bounce_visitor,DE,mobile_web,organic,free,0,False,2025-01-18 20:49:29.178503,2025-01-25 17:22:15.650858992,10.839220572951263,0.97
124,2025-01-10 19:59:36.389283,casual_explorer,US,android,linkedin,basic,29,False,2025-01-12 00:54:10.779463,2025-03-08 02:39:21.767877201,56.27760854854404,0.66
125,2025-01-11 08:21:34.903472,engaged_free,IE,web,organic,basic,29,True,2025-01-14 09:08:45.970727,,,0.71
126,2025-01-04 14:05:01.466663,engaged_free,AU,web,referral,free,0,False,2025-01-05 19:34:15.210201,2025-01-08 12:22:19.105896270,3.928676380014749,0.82
127,2025-01-12 11:42:44.691903,support_heavy,US,web,partner,basic,29,True,2025-01-13 12:01:04.698016,,,0.77
128,2025-01-07 10:44:33.005635,bounce_visitor,US,tablet,partner,free,0,False,2025-01-08 17:24:15.190716,2025-01-08 11:02:45.449219703,1.0126440229710625,0.83
129,2025-01-23 09:50:27.361303,power_user,UK,ios,direct,enterprise,299,True,2025-01-24 13:44:15.519628,,,0.76
130,2025-01-03 12:43:59.096762,casual_explorer,NL,tablet,linkedin,free,0,False,2025-01-04 11:09:48.914758,2025-01-07 22:26:39.282523181,4.404631779643329,0.71
131,2025-01-08 21:10:34.479619,bounce_visitor,AU,mobile_web,google_ads,free,0,False,2025-01-12 22:00:34.155367,2025-03-12 03:02:12.656530515,62.24419186240177,0.76
132,2025-01-05 09:26:12.884321,casual_explorer,NL,desktop,organic,basic,29,True,2025-01-08 14:40:11.268558,,,0.67
133,2025-01-05 01:56:15.014383,bounce_visitor,UK,android,direct,free,0,True,2025-01-06 22:18:16.880814,,,0.92
134,2025-02-13 08:18:32.129471,enterprise_evaluator,IE,desktop,google_ads,enterprise,299,False,2025-02-13 08:56:13.595626,2025-02-14 14:59:01.449672992,1.2781171319675457,0.63
135,2025-01-01 09:40:50.133651,engaged_free,DE,mobile_web,partner,free,0,True,2025-01-02 11:56:43.929465,,,0.96
136,2025-01-07 06:34:41.555499,support_heavy,UK,android,referral,basic,29,False,2025-01-10 19:49:02.268445,2025-01-07 20:22:53.723419941,0.5751408324182622,0.74
137,2025-01-07 18:13:04.889288,bounce_visitor,IE,mobile_web,linkedin,free,0,False,2025-01-13 16:33:03.065103,2025-01-10 05:20:10.407746500,2.463258315491894,0.91
138,2025-01-31 10:15:42.386324,engaged_free,AU,web,google_ads,starter,49,True,2025-01-31 11:21:09.368186,,,0.71
139,2025-01-16 01:19:51.742187,casual_explorer,SE,desktop,direct,basic,29,False,2025-01-19 15:47:51.430849,2025-02-09 16:31:46.550070278,24.633273239389773,0.99
140,2025-01-03 19:48:27.903303,casual_explorer,IE,android,direct,basic,29,False,2025-01-08 17:44:18.240888,2025-01-13 09:18:00.352645568,9.562181126650145,0.65
141,2025-01-05 19:18:04.601869,bounce_visitor,US,tablet,organic,free,0,False,2025-01-07 04:19:46.515639,2025-01-12 00:01:27.643662003,6.1967944651968,0.89
142,2025-01-03 06:18:14.402727,engaged_free,SE,desktop,linkedin,starter,49,False,2025-01-05 01:58:35.499529,2025-01-19 08:07:10.763555868,16.07565232440819,0.84
143,2025-01-03 21:24:57.349116,bounce_visitor,US,ios,partner,free,0,False,2025-01-04 20:36:18.895240,2025-01-05 09:54:12.002232623,1.520308485146113,0.81
144,2025-01-03 17:28:12.769744,power_user,US,android,partner,enterprise,299,True,2025-01-05 13:49:54.913185,,,0.7
145,2025-01-06 02:38:05.240773,casual_explorer,AU,android,direct,free,0,False,2025-01-07 09:39:36.211913,2025-01-23 23:57:45.294555254,17.888658029887203,0.87
146,2025-01-20 18:48:21.231547,enterprise_evaluator,JP,mobile_web,referral,business,199,True,2025-01-21 03:17:24.277710,,,0.94
147,2025-02-16 14:17:19.994049,support_heavy,UK,web,google_ads,free,0,True,2025-02-17 21:08:54.034256,,,0.74
148,2025-01-08 23:39:22.948702,casual_explorer,NL,ios,organic,free,0,False,2025-01-09 13:14:07.421351,2025-01-14 10:04:47.218546743,5.434308678758554,0.93
149,2025-01-18 19:07:17.670343,bounce_visitor,CA,ios,referral,free,0,False,2025-01-19 16:36:59.234123,2025-02-16 22:38:23.575564133,29.146596125244557,0.64
150,2025-01-03 04:58:01.061670,enterprise_evaluator,SE,web,referral,enterprise,299,True,2025-01-04 18:26:20.811085,,,0.95
151,2025-01-25 15:24:20.798592,bounce_visitor,AU,tablet,direct,free,0,False,2025-01-27 16:04:38.375854,2025-02-13 23:09:32.197611134,19.323048599758465,0.99
152,2025-01-16 14:31:18.611321,support_heavy,JP,web,partner,free,0,False,2025-01-18 19:43:32.299679,2025-02-17 02:44:03.775821384,31.50885607060627,0.62
153,2025-04-21 03:49:01.947894,bounce_visitor,JP,tablet,direct,free,0,False,2025-04-26 02:25:07.465535,2025-04-24 05:21:27.756543694,3.0641876001121684,0.61
154,2025-01-06 07:02:31.874310,bounce_visitor,NL,ios,linkedin,free,0,False,2025-01-12 01:37:35.486428,2025-01-08 16:51:31.707540946,2.409025847580375,0.79
155,2025-01-28 22:06:49.746196,support_heavy,JP,web,direct,basic,29,False,2025-01-30 17:39:00.839238,2025-02-16 13:29:03.431398834,18.640436171329085,0.69
156,2025-01-02 04:49:37.644922,engaged_free,NL,ios,referral,free,0,True,2025-01-03 21:36:34.058168,,,0.92
157,2025-01-17 06:07:41.866068,casual_explorer,UK,web,partner,free,0,True,2025-01-19 04:03:09.390836,,,0.69
158,2025-01-31 14:45:12.265541,power_user,AU,tablet,partner,business,199,True,2025-02-01 14:00:25.173166,,,0.97
159,2025-01-01 03:25:51.796107,power_user,US,tablet,direct,pro,99,True,2025-01-02 10:48:28.962287,,,0.85
160,2025-03-04 02:32:34.559746,support_heavy,SE,mobile_web,partner,basic,29,False,2025-03-06 17:47:47.465436,2025-04-11 04:49:36.278802279,38.095158785373606,0.6
161,2025-01-06 06:51:53.612609,casual_explorer,FR,ios,direct,free,0,True,2025-01-08 01:33:26.455389,,,0.71
162,2025-01-01 16:36:49.577340,enterprise_evaluator,US,web,referral,business,199,True,2025-01-02 04:25:57.301567,,,0.98
163,2025-01-02 09:43:08.075679,bounce_visitor,CA,desktop,linkedin,free,0,True,2025-01-07 02:03:52.674271,,,1.0
164,2025-01-02 00:11:23.701975,bounce_visitor,NL,mobile_web,partner,free,0,False,2025-01-04 02:31:58.598651,2025-01-26 12:27:41.141148362,24.511312953395393,0.84
165,2025-01-04 22:24:16.596355,casual_explorer,SE,ios,organic,free,0,False,2025-01-05 08:18:31.018857,2025-02-16 06:40:47.261856040,42.34479936922497,0.91
166,2025-01-01 21:26:59.578799,casual_explorer,AU,web,organic,basic,29,False,2025-01-07 03:34:38.285697,2025-01-02 01:28:25.371026514,0.16765963226288766,1.0
167,2025-01-08 13:38:58.083942,engaged_free,UK,desktop,organic,basic,29,True,2025-01-08 21:40:15.190434,,,0.93
168,2025-01-04 19:12:44.609145,engaged_free,SE,web,referral,starter,49,False,2025-01-06 12:51:44.179252,2025-01-07 18:04:28.186054516,2.9525876957120434,0.64
169,2025-01-05 15:07:57.140976,support_heavy,SE,android,organic,basic,29,False,2025-01-09 10:54:05.083407,2025-01-20 02:03:18.904624632,14.45511300519246,0.61
170,2025-02-10 05:36:08.507452,casual_explorer,UK,mobile_web,direct,basic,29,True,2025-02-10 20:02:21.982229,,,0.89
171,2025-01-02 06:25:37.203617,casual_explorer,IE,tablet,organic,free,0,True,2025-01-02 09:28:28.373265,,,0.95
172,2025-02-05 13:10:42.998784,casual_explorer,NL,ios,linkedin,basic,29,False,2025-02-09 13:07:03.732205,2025-02-13 19:00:21.284450304,8.242804232248865,0.89
173,2025-01-31 09:25:19.315745,casual_explorer,SE,tablet,linkedin,free,0,True,2025-01-31 22:30:44.413563,,,0.97
174,2025-01-19 00:13:16.060320,engaged_free,IE,android,partner,starter,49,True,2025-01-23 02:50:14.234386,,,0.61
175,2025-01-03 01:40:01.223995,support_heavy,IE,desktop,google_ads,free,0,False,2025-01-06 11:26:17.674544,2025-01-24 19:29:04.954395713,21.74240428704525,0.93
176,2025-01-01 02:18:22.627808,casual_explorer,US,web,organic,free,0,False,2025-01-01 08:12:58.040174,2025-01-02 03:25:18.466776079,1.0464796176860625,0.75
177,2025-01-26 14:41:45.299351,power_user,DE,desktop,google_ads,business,199,True,2025-01-27 17:52:00.098499,,,0.94
178,2025-01-03 23:13:18.185803,casual_explorer,CA,mobile_web,referral,free,0,False,2025-01-06 07:06:44.066482,2025-01-18 21:54:05.198012527,14.944988567239934,0.63
179,2025-01-19 11:22:21.929677,casual_explorer,US,ios,direct,free,0,False,2025-01-20 07:44:50.195602,2025-02-28 05:22:55.559852918,39.75038923814718,0.85
180,2025-01-31 18:45:38.246960,power_user,FR,android,linkedin,enterprise,299,True,2025-02-02 14:04:29.099308,,,0.75
181,2025-01-26 20:21:58.022496,power_user,DE,android,google_ads,enterprise,299,True,2025-01-26 20:24:56.008245,,,0.66
182,2025-02-13 07:37:21.150293,casual_explorer,SE,tablet,partner,basic,29,True,2025-02-14 00:37:53.762503,,,0.94
